rank;lex;num;ipm
98;хотеть;369179;985.9234200776752
99;можно;361755;966.0970066829354
100;глаз;358913;958.5072078052615
101;лицо;340661;909.7637140982583
102;потом;336512;898.6834623236389
103;ну;330245;881.9469142707246
104;много;327967;875.8633246003021
105;более;327307;874.100739357774
106;здесь;324471;866.526963982305
107;работа;321032;857.3428266352535
108;дом;319600;853.5185507757078
109;надо;317741;848.5539356759203
110;русский;315677;843.041850917469
111;каждый;315329;842.1124877895907
112;все;312553;834.6989474361696
113;тут;309065;825.3839514877789
114;друг;308641;824.2516239986396
115;несколько;307018;819.9172666522411
116;тогда;303752;811.1951402854279
117;думать;303093;809.4352256266006
118;сторона;300049;801.3059688413653
119;голова;298212;796.4001065829955
120;потому;297685;794.9927089726739
121;жить;293811;784.6468677157743
122;сделать;292897;782.205954213243
123;через;291633;778.8303364154317
124;делать;286772;765.8486290458425
125;стоять;283899;758.1760420734438
126;час;279981;747.7126951337092
127;город;277879;742.0991281946273
128;между;276592;738.6620869716976
129;последний;274902;734.1488005173454
130;дать;274040;731.8467573672558
131;какой-то;271596;725.3198508025004
132;об;267934;715.5401732901705
133;сила;266305;711.1897924415671
134;казаться;266075;710.575558190383
135;пойти;260336;695.2490783314913
